日期,神乐mea,凑阿夸,Kanna,战斗吧歌姬,夏色祭,綾奈nana,有栖mana,Paryi,森永miu,陆婉莹,纸木姐妹,Siva_小虾鱼_,赤井心,大神澪,兰若_Re,魔宵sakyu,shiori,安堂inari,爱夏natsu,花園serena,乌拉の帝国,某南,白音小雪,白上吹雪,千草hana,鸠子hatoko,木糖纯和庄不纯,田中姬铃木雏,静凛,高槻律,百鬼绫目,绿仙,mendako,萝卜子,莉姬リジ爱米莉,乙女oto,神楽七奈,心斎桥okuto,本间向日葵,ENA,癒月巧可,萨莎柯里克,犬山玉姬,紫咲诗音,亚绮-罗森,樱巫女,夜空梅露,椎名唯华,花芽姐妹,音俣ruka,物述有栖-爱丽丝,千鈴mei,日月咪玉,古守chiyu,綴目日傘,乐喵Channel,暁chiaki,水漠豆腐,月ノ美兔,竹轮喵Official,AnMr海外转播,Mochi Hiyoko,贝尔蒙德班德拉斯,龙胆尊,笹木咲,大空昴,KMNHZ,千寻炎哈,路人豆腐铺,天神子兔音,富士葵,清露ikuna,YuNi,美玲roa,Ame酱,宇志海莓,MEMproject,游戏部,喀秋莎秋明,赤星共和国連邦,花京院chieri,mugi,Overidea_China,森中花咲,fairys鹦鹉,幽灵子辰,來夢meruto,樋口枫,Hibiki AO,水科葵,水無瀬rui,Okome,野良喵noracat,藥袋karute,東雲恵,Azulim,未来明转播,VirtualReal,猫又小粥,陽向ここみ,皆守hiiro
2019/6/21,2508.3,47538.749,1756.604,31927.895,144.226,9863.84,5930.262,230.178,0,0,472.528,1383.938,12.9,208,4386.133,0,2068.126,0,1216.479,0.626,385.598,257.497,0,47.9,0,103.44,28.426,5,0.626,0,21,1,1,2918.011,0,0,78.752,0,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,3,0,0,9.9,0,0,0,0,0,0,0,0,0,0.899,0,0,0,9.9,0,0,0,0,0,0,0,0.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/22,1411.002,100.7,658.486,13,131.8,10557.394,1,0,0,0,970.862,0,1,7,135.474,0,0,493.826,0,198,681.866,152.459,314.99,12.726,0,274.43,0,9.9,109.9,0,9.1,1,1.3,0,212.9,0,66.2,9.9,0,1213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,198,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/23,5067.8,131,2.1,7.1,21.8,1166.307,1,5061.116,0,2133.869,111.62,303.484,19.8,2,2,2550.724,1316.558,198,1123.47,0,646.977,189.63,298,42,0,782.363,597.365,203,212,0,1,0,3.878,0,0,0,44.678,0,51,0,0,17.678,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/24,752.388,229.5,101,46.052,15139.263,6428.345,3,1,0,24.552,1180.701,0,0,204,1478.195,0,3950.883,138.664,0,0,169.433,179.105,0,92.204,0,237.8,1046.62,13.4,0,0,5,9.9,0,0,198,0,106.856,9.9,10,0,15.1,0,396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/25,254208.654,98.292,1,8.1,23.452,5034.049,19.8,4710.605,0,0,2398.484,3972.627,9.9,198,574.464,0,208,9.9,827.704,0,391.983,547.166,0,448.052,0,34.852,4180.54,0,9.9,0,10.9,0,2.826,0,0,0,25.326,0,9.9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/26,843.026,42.256,3258.774,13.726,47.7,4187.956,10.9,177.6,0,1404.108,757.376,104.73,12.9,122.526,952.358,561.834,0,2997.377,0,17.9,50.12,313.891,0,36.526,7550.996,16.252,73.144,9.9,1,9.9,224,10,0.626,9.9,119.412,0,264.626,0,209.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/27,7.82,198,0,1,9.9,1198.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,14.899,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-29,173.300,10.300,0.000,450.100,19.800,5058.840,0.000,5681.505,0.000,0.000,1157.300,13.096,0.000,0.000,0.000,203.000,9.900,439.900,343.740,2625.451,224.500,0.200,307.800,23.100,198.000,17.600,34.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.900,0.000,200.000,0.000,0.000,226.500,0.000,0.000,0.000,0.000,0.000,9.900,0.000,0.000,0.000,9.900,0.000,0.000,0.000,0.000,0.000,0.000,9.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3252.384,0.000,250.600,0.000
